0,1
1/18/2025 21:15:11,Timestamp
,Score
Ukihesabu namba ya matunda kwa kitagahii mpaka haha undapata matunda 15,"If we count the fruits from the main branch to here, you will find there are around 15 fruits."
mnaona ,You can see them.
matumda kumi na tsano ni here kilo mwenga,These 15 fruits make up about a kilo.
kala ni mabomu ni here matunda 12 au 10 ,"If the fruits are of good size, there will be 12 or 10 fruits instead."
Kwa vivyo kila kitagai undapata matunda 25,"So, you can count that each lateral branch gives about 25 fruits."
Ukitsanganya idadi yosi kwa 25 undapata idadi kamili,"Multiply that by 25 laterals, and you get the total amount of fruit."
ni matunda 25,There are 25 fruits in number.
na upande mungine ni idadi sawasawa,"On the other side, they are also the same."
kila mumea unafaa kukupa idadi io io,"In one plant, it should give you that season’s yield."
unafaa kupata kilo 50,You’re supposed to get at least 50 kg.
io ni kilo 50,"That is, 50 kilograms."
huna midimu mingahi kwa ino,How many seasons do we have for this?
una msimu mumwenga ,You will have only one season.
lakini undapata kilo 50,"But it is widespread, about 50 kg."
ni kilo hamsini,It’s 50 kg.
kwa vivyo kwanzira kilo 0 mpka kilo  50 kulingana na jitihafi za kwako,"So, you can get anywhere between 0 and 50 kg depending on your management."
 Mbinu ingine niio nigomba kare,The other thing is the feeding routine I was telling you about.
unamanya aloli wa ii video,You know the viewers of this video?
adziunga na ii tovuti,They have subscribed to the channel.
na baada ya haha hundagavya kitu kombola kwa akaunti yangu ya benki,"And I know after this, we are going to share something through my bank account."
richa wahumire yangu,Let them use mine.
wanaeza kupata msaada,They can use help.
hunda humira akaunti yako ya benki,We are going to share your bank account.
mnaeza pata akaunti yangu ya benki,You can get my bank account.
kwa sababu cho mndawapa nanya vyuo vikuu vimdangavya,"Because whatever you’re giving them, I even know University can share that."
kakuna mtu anaweza kuwamba gago,Nobody can say that to them.
Kwa mimea ya karakara usiho  irisa maramwenga  haho mdo mwisho,"For passion fruit, you don’t feed it just once, and that’s all."
Kuhimili mumea umafaa kuhumira gramu  20 mpaka 50 kila mwezi ,"To sustain the plant, you should use at least 20 to 50 grams per month."
ama siku 30 au siku 40,"Or after 30 days, after 40 days."
kwa mwezi humira gramu 20 mpaka 50,"On a monthly basis, use 20 to 40 grams."
kwa mpangilio wa mbolea ya tsenga,Alternate between granular fertilizers.
"kati ya phosphorus ,nitrogen na potassium","Alternate between phosphorus, nitrogen, and potassium."
humira mbolea ya NPK,Use the NPK fertilizer.
unaeza cheza na Npk,You can play around with NPK.
muda uu uneza humira mbolea ya phosphat here 23 -23,"This time, you can use rare, and next time, you use a phosphatic fertilizer like 23-23."
umdairisa here gramu 150,"So, you can feed them, let’s say, 150 grams."
alafu inanywa siku indayoturiza  virutubisho vyosi vindanyonywa,"Then it drinks the next day, and all the nutrients are absorbed."
ila mimea indaweza kunufaika kombola kwa ii,But are the plants really going to benefit from this?
kaindakala na umuhimu,It’s not going to be effective.
undakala ushangamiza virutubishi vyosi,You’ve already lost the nutrients
Na mkumbuke mdakala mki imwagira madzi kila mara,"Yes, and remember we said you are going to irrigate this plant every now and then."
kila mara umwagire madzi ,"Every now and then, it should have water."
mukumbuke madzi gakale ga awango yaa kutosha,"Remember, water should be moderate."
usimwagire madzi manji ili mtsaka usikale na madzi kupita kiasi isiozeshe mizizi,"You don’t overwater it so that it doesn’t become waterlogged, as it will rot."
Pia usimwage madzi kidogo kwa sababu pia io inashida za kwake,"You also don’t underwater it, as that causes some problems."
mara zingine malua huumbuka,"Sometimes, the abortion of flowers happens."
Ikikosa utu  kawaida gandaunda umbuka ,"Once it realizes it has lacked something, it will naturally abort."
kuumbuka ni harahu malua gana chupuka ,The abortion is when you see that it is dropping flowers.
ukioma gana chupuka manya kuna sababu,"Even if you see it dropping flowers, it tells you there is an issue."
ukiviwa na makongo pia huomyesa kwenye malua ,"If it is attacked by diseases, the problem will show on the flowers."
malua gandachupuka,The flowers will start dropping.
unafaa kuipa kila kitu ili iweze kukala na matumda,"For it to support all the fruits, you now have to provide all its needs."
ipe mbolea irio na virutubishi ili ivyale matunda madzo,Provide proper fertility to ensure healthy fruiting.
kisha kuna Fangai inayofaa kumwagira dawa kwenye makodza,"We also have fungi, so you have to spray the leaves with fungicide."
inafaa kuhendwa mara mbiri kila mwezi,"This should be done twice a month, every two weeks, or every fortnight."
kimbukeni kila baada ya siku 40 unafaa kuirisa,"Remember we said that every 40 days, you have to feed them."
inafaa uirise msimu wosi wa kunyala,It is wise to feed them throughout the growing period.
inawezesha ishi bwage makodza ili kuhifadhi virutubishi ,This ensures it doesn’t have time to shed leaves because you are replenishing nutrients.
wakati inaanza kuvyala matinda inahumira virutubishi kuvyala,"The moment it starts to fruit, it uses its nutrients to make the fruit grow."
unafaa ku wezesha uvyaladzi wa matunda,You need to support the fruiting process.
kwa mbolea unafaa kuhumulira mfumo wa ku mwaga na sprei,"On top of the granular fertilizer, every fortnight, you have to use a foliar spray."
nirivyoambira kuna sprei mbidzo ya kuhumira,"Like I told you, there is a good foliar spray you can use."
tafadhali takala nindawariha badae unaeza hupa taarifa,"Please, even if I’m going to pay for that later, you can give us the information."
ni sprei hio uihumirayo,Which is this foliar spray you’re using?
io ndo huihimirayo kwa mimea mingine,That is what you are using here and on other plants as well.
inahenda kazi tototo takala mimea ni minji,"It is doing very well, even where plants are plenty."
ina utibithi wa kumera,It has a growth regulator.
Kwa vivyo inamanya kwa kuomboza malua na kwa kumboza utamu,So they know where to produce flowers and where to figure the sweetness.
kwa sprei ya foliar kuna stika,"For the foliar spray, it also has a sticker."
undapata uki sprei alifu kunye mvula indagama kwa sababu ina sticker,"You realize that even if you spray it and it rains, the foliar will still be utilized because it has a sticker."
inanyonywa takala kundanya mvula,"It tends to be absorbed even when it rains, which is a good thing."
pia ina virutubisho vya Npk,The other thing is that it has very balanced NPK nutrients.
ina naitrogeni ya kiwango kibomu irivyo andikwa kwa karatasi,"You realize that it has high nitrogen, and the nitrogen written on the label is exactly what is inside."
pia in phosporous na potassium ,It also has phosphorous and potassium in the right amounts.
kumbuka kala mimea kala ni mtsanga humira mbolea ya phosphorus ya dzulu,"Remember, when the plants are young, use fertilizer with high phosphorus."
io huiwa mazao plus ,That is what we call Mazao P Plus.
pia huna mazao vegeta inayowezesha mimea kunawiri tototo,"We also have Mazao Vegeta, which will help your plants grow very well."
mumea uchanza komboza matunda galuza uhumire potassium,"When the plants start fruiting, you should switch to using potassium."
stegi ii humira mazao ,"At this stage, you can spray Mazao Plenty."
Mazao plenty ni mbidzo wakati wa matunda,Mazao Plenty is good for fruiting plants.
wakati wakati wa kumarigiza humira mazao plenty,"For finishing stages like this one, use Mazao Plenty."
pia kuna ingine inaihwa plenty standard,We also have another one called Plenty Standard.
plenty standard inahumika kila steji,Plenty Standard can support all growth stages of the plant.
ina fomula mbidzo 25_25_20Npk,It has a very good formula of 25-25-20 NPK.
ii fomula inahumika kila steji,This formula can support any stage of plant growth.
ni totot kuhumira mbole kwa sababu husaidia kwa kumera,It is always nice to use this fertilizer because it helps with all aspects of growth.
kala mimea kaiboza matunda unaweza kuwezesha imere makodza ,"At this point, if the plants are not fruiting yet, you can use it to help them grow leaves and support their care."
mbolea injine husaidia mizizi na virutubishi vya phosphorus,A standard fertilizer helps the root system with phosphorus.
inasaidia makodza na niaitrogeni,It helps the leaves with nitrogen.
Inasaidia na kuiva kwa matunda na kunawiri kwa malua Na virutubishi vya potassium ,It helps the ripening and setting of flowers with potassium.
