0,1
,Timestamp
,Score
Io ni mbeyu mbidzo,That is good manure.
pia kuna mbolea ya kuku,We also have chicken manure.
mbolea ya kuku ni suluhisho ra muda,Chicken manure is a temporary solution for plants.
ina  Urea nyinji,It has a lot of urea.
mbali na urea kuna tatizo ringine ra mbolea ya kuku,"Apart from the urea, there is another downside to chicken manure."
mbolea ya kuku hudza na vidudu here huke wa kuku,Chicken manure usually comes with mites from the chicken.
Huke ao andavamia mumea wakwako ,The mites will immediately find comfort in your passion fruit plants.
undapata kala mimea ya kwako kaimera tototo,You will realize that your plants are not growing well.
kaimdamera kamare,They will not even grow at all.
Ao kuhe andakuka kwa kua wanapata chakurya,The mites will now thrive because they have food.
udziwahala kula kwa makazi yao na kuaika hatu kusha amabako andakula na kuvyalana,You have moved them from a temporary home to a new place where they can grow and multiply.
siwashauri kuhumira mbolea ya kuku kala kaidzatibiwa,That’s why I discourage using chicken manure unless it is sanitized.
kuna kampuni ambazo hutibu na kuguza mbolea ya kuku,There are companies that sanitize and process chicken manure.
mbolea ya kuku iriyotibiwa ni mbidzo,That processed chicken manure is good.
naelewa kala kuna Kampuni zinazotibu na kuguza mbolea ya kuku,I understand there are companies selling sanitized chicken manure.
anatibu na kuguza kwa viwanda vya kutengeza vyakura vya anyama,They process it and supply it to animal feed factories.
viwanda huihumira kutengeza  vyakura vya anyama,The factories make animal feed using it.
mbolea ya kuku iriyotibiwa ndo mbidzo,That’s why I think sanitized chicken manure is better.
nitoto kupata mbolea ya kuku iriyotibiwa,"In the market, it is good to find sanitized chicken manure."
ni mbidzo kwa shamba rako,It is better for your farm.
Inavutia,"Wow, interesting."
sasa huna mbolea ingine,Now we have the other manure.
hujaika mbolea yehu,"Yes, we have added our fertilizer."
pia i futi mbiri tsini,"It is also deep, two feet."
ehh hukala here ujuzi ,"Yes, it becomes like a skill, right?"
eeh futi mbiri,"Cubic two feet, yes."
Ndo upate mbolea nyinji,This is so that you can accommodate a good amount of manure.
ukishaudza mtsanga mizizi indapa nafasi mizizi imere ,"Once you return the soil, the roots will now be at ease to develop."
mtsanga haho si mufu here mwanzo,The soil there is not as compact as before.
haho kazi indahendeka tototo,"Sure, so there you will have some good work."
kisha hundasonga mbere,Then we move forward.
sasa ni wakati wa kunyala,We now come to planting the plants.
mumea wa karakara unafaa kunyalwa kahikahi wa mlingoti,"For passion fruit, you should put it at the center of the hole."
si kanda ila kahikahi,"Not sideways, but at the center."
ika kahikahi ili usitatize  umbo ,Place it at the center of the hole so that you don’t alter the dimensions.
Ubomu wa wina pia umafaa kuzingatiwa,The measurements of the hole are important.
angine andapima mita  mbiri kwabiri,Someone may have measured two meters by two meters.
Lakini ukishanyala undapata ni here mita mwenga  kwa mbiri,"But once you have planted, you realize it’s one meter on one side and two meters on the other."
undapata kuna nafasi kahi kahi ya mimea,You realize that you have an interval between the plants.
sasa hunyala yo mimea,Now you have planted the plants.
mwagira madzi kwa mimea,Water the plants.
kula kundanya mvula ni toto,"It has rained, lucky for you."
sino huhumira mbimu ya bitton drippers,"For us here, we have used button drippers."
hudzika mfumo mudzo  ili hupate madzi  siku nzima,We have installed a good system so that we have water 24/7.
mala nyinji hua hunalolera,We usually monitor and check.
humatsimba mtsanga kumanya kwango cha madzi kuhimira mkono,We just touch the soil and feel the moisture content using our hands.
ukishamwaga madzi io ni tosha,"Once you have watered, you’re good to go."
Hatua ingine  ni usimamizi mudzo,The next step is trellising and general management.
